phi,mean,maxi,const
0.20,0.104543,0.247647,1.20
0.30,0.157300,0.424690,1.20
0.70,0.376565,0.733073,1.20
1.20,0.475043,0.857152,1.20
0.90,0.486382,0.892341,1.20
0.80,0.445570,0.830546,1.20
1.00,0.531681,0.943685,1.20
1.10,0.527147,0.957209,1.20
1.30,0.396728,0.857487,1.20
2.20,-0.553509,0.312717,1.20
2.30,-0.499706,0.218384,1.20
2.40,-0.432629,0.223221,1.20
2.50,-0.379130,0.283673,1.20
2.60,-0.320993,0.692115,1.20
1.70,-0.249922,0.050049,1.20
1.60,-0.101657,0.150497,1.20
1.40,0.264764,0.825857,1.20
1.50,0.104537,0.545637,1.20
1.80,-0.401261,0.084401,1.20
2.00,-0.565873,-0.005059,1.20
2.10,-0.588813,0.331397,1.20
1.90,-0.493497,0.242242,1.20
2.70,-0.257208,0.743000,1.20
2.90,-0.152825,0.198384,1.20
3.40,0.152479,0.368031,1.20
3.50,0.222176,0.586828,1.20
2.80,-0.224425,0.383497,1.20
3.10,-0.031319,0.059727,1.20
3.20,0.037244,0.149156,1.20
3.00,-0.100119,0.144654,1.20
4.00,0.512578,0.826998,1.20
4.10,0.557671,0.869539,1.20
3.90,0.446326,0.827050,1.20
3.30,0.109516,0.386288,1.20
3.60,0.270570,0.613139,1.20
3.80,0.388701,0.746209,1.20
4.60,0.224649,0.814542,1.20
4.30,0.562845,0.981245,1.20
4.50,0.372533,0.971284,1.20
3.70,0.333373,0.703680,1.20
4.40,0.481531,0.835799,1.20
4.70,0.079493,0.678046,1.20
4.80,-0.123751,0.467227,1.20
4.20,0.583586,0.945281,1.20
6.10,-0.097430,0.089390,1.20
6.00,-0.148535,0.148617,1.20
6.20,-0.044360,0.058622,1.20
0.10,0.054038,0.132243,1.30
4.90,-0.292196,0.370109,1.20
5.00,-0.426107,0.660522,1.20
